CondensedBinary2DGeometry,BandGapLocation,BandGapWidth
10,497.0116577,22.6972663
11,467.9290183,85.65493622
100,687.6367054,37.40981452
101,721.2827768,61.60475601
110,464.3477675,46.35470747
111,445.8453909,75.48117321
1000,891.7131755,33.49744715
1010,706.1919225,21.54359582
1011,445.5576303,12.87077476
1101,760.4765302,24.87165212
1110,765.7198846,304.8711601
1111,840.7748772,347.9731824
10000,686.6092827,72.2305187
10001,867.2269851,129.4717262
10010,947.9146965,56.92793938
10011,925.7870809,71.67336207
10110,717.0944942,28.78453747
10111,712.8913672,23.49676441
11000,650.351169,130.8669008
11100,635.9802074,63.64100866
11101,663.2826389,22.22491598
11110,769.2999022,10.21735639
11111,1326.441752,28.87861231
100001,507.6374699,32.07131497
100010,472.3266525,52.62112413
100011,450.9830937,96.3312115
100100,714.6284121,164.2892066
100101,468.7402551,46.86969731
100110,439.5985856,49.67824168
100111,423.9428745,73.60508174
101010,693.8601365,73.53857371
101011,429.8280215,16.87285003
101100,543.6636938,62.0515097
101101,844.8820176,401.7787633
101110,859.104982,425.8561226
101111,852.9928008,419.5355726
110001,979.2699779,45.59627856
110010,937.8799173,127.9769344
110011,926.3589037,135.9374478
110100,836.6858821,10.18731968
110101,762.601038,18.44720039
110110,702.6363291,30.54668135
110111,694.9705802,29.18742161
111000,636.6314771,64.45990561
1000000,911.1695094,34.09724339
1000001,637.7674911,72.46057114
1000010,488.1945709,33.20408194
1000011,467.6046829,66.71959347
1000100,620.2626824,38.99599953
1000101,438.7187901,15.89547238
1000110,436.3788634,19.98063845
1000111,422.7674527,42.30035005
1001000,949.2680646,195.8622174
1001001,723.9009661,86.67124125
1001010,814.2177994,371.0205672
1001011,892.0747936,485.0823657
1001100,629.854209,12.78597794
1001101,671.5477492,103.4479976
1001110,847.4837412,547.671591
1001111,874.4316019,547.2837109
1010010,800.248256,25.32146464
1010011,768.9600919,40.78735518
1010101,713.5335444,15.18139697
1010110,716.1957003,87.05019355
1010111,711.2449488,86.13896752
1011011,1216.493848,18.77750382
1011110,1174.162623,12.79115867
1011111,1705.16492,160.9197544
1100000,626.0541186,18.52638712
1100001,482.9612003,45.07972784
1100010,461.7967806,40.26930657
1100011,445.6920622,66.15718497
1100100,713.4877375,342.3706912
1100101,436.8804445,20.36464444
1100110,416.6987786,27.22004416
1100111,405.0718793,45.94026963
1101000,939.6803779,234.184117
1101001,845.957709,468.5215784
1101010,828.0993799,472.2953347
1101011,887.0869826,505.9202968
1101100,789.4206174,366.336105
1101101,850.0883079,550.4457572
1101110,855.9653017,567.4856102
1101111,867.4070529,564.9373657
1110001,969.2863255,91.52441215
1110010,1053.879811,155.9313183
1110011,1050.692874,158.921718
1110100,723.2342989,88.67976443
1110101,717.1684054,86.6294504
1110110,701.1872165,115.125628
1110111,696.6085321,114.1547328
1111010,1538.080404,81.27867712
1111011,1417.633956,153.2550202
1111101,1483.565516,94.81232525
1111110,1697.017329,51.08771325
1111111,1728.144555,115.108803
10000010,647.5427368,86.56711935
10000011,442.9863884,16.12448842
10000101,690.7675055,33.80948135
10000110,831.7665039,408.3905449
